Nr.;Anrede;Vorname;Nachname;Geburtsdatum;Straße;Hausnummer;Postleitzahl;Stadt;Telefon;Mobil;Telefax;EMail;Newsletter;Eintragsdatum
1;Frau;Jeannine;Vieten;;Auf dem Bühl;176;30938;Burgwedel;05139/34140260;;;j.vieten@spam-mail.none;;05.08.2000
2;Frau;Berenike;Klostermann;28.06.1995;Weinberg;10;25924;Emmelsbüll-Horsbüll;;0159/2012065;;bklostermann@live-mail.none;;27.01.1998
3;Frau;Cordula;Tschirner;;Höhweg;42;66265;Heusweiler;06806/6215649;0168/3466696;;;;02.11.1999
4;Frau;Klara;Vogler;;Wohnpark am Weiher;58;29646;Bispingen;05194/70707952;0151/9702589;;klara_vogler@net-mail.none;;07.12.1978
5;Herr;Wulf;Exner;;Laerstraße;92;74572;Blaufelden;;0168/9427121;;wulf.1952@retromail.none;ja;25.03.2017
6;Herr;Ferdinand;Carmen;03.09.1934;Heimbacher Straße;16;67071;Ludwigshafen am Rhein;0621/67842561;0159/2012954;;ferdinand_1934@retromail.none;;05.08.1978
7;Frau;Ehrentraud;Brandenburg;;Kleiner Ring;194;29223;Celle;05141/99960529;0155/3168211;05141/57302755;;;20.04.2022
8;Frau;Birge;Grosche;;Osemundstraße;140;73529;Schwäbisch Gmünd;07171/6376488;;;bgrosche@net-mail.none;;11.11.2013
9;Frau;Rosegret;Straßburg;;Kleingasse;192;16348;Marienwerder;03337/23036449;0171/5529713;;r.strassburg@hoster.none;;13.01.1943
10;Frau;Cathrin;Henrichs;;In der Sengenau;154;38729;Wallmoden;05383/56434587;0169/6421737;;c-henrichs@anymail.none;ja;25.07.2000
11;Frau;Bertlinde;Schorn;14.02.1934;Hüttenstraße;81;83313;Siegsdorf;08662/44009171;0159/6580054;08662/63901403;;;27.02.2008
12;k.A.;Yasmin;Eckert;;Wiener Straße;49;23858;Reinfeld;04533/51652298;0157/8101713;;y.eckert@retromail.none;ja;01.08.2017
13;Herr;Didi;Reichert;;Kapitelstraße;25;39120;Magdeburg;0391/45923054;0162/8986427;;;;22.11.2016
14;Herr;Wiegbert;Barnickel;;Winkelweg;161;25927;Neukirchen;04664/28716168;0156/5212760;;wiegbert.1902@web.none;;07.01.1966
15;Frau;Anett;Dammer;09.02.1959;Hermann-Treff-Weg;198;55578;Wallertheim;06732/44337204;0160/3072323;;adammer@web.none;ja;21.04.2013
16;Herr;Bernold;Heeger;11.03.1909;Schenkstraße;150;29351;Eldingen;05148/18685529;;;;;06.10.1963
17;Frau;Hannelotte;Siebenhaar;;Steimeler Straße;153;23896;Poggensee;;0169/7670443;;hannelotte.siebenhaar@bestmail.none;nein;13.05.2019
18;Herr;Sieghart;Markgraf;;Auf Wissen Woog;193 b;66851;Horbach;06333/48116489;0173/4120738;06333/79939394;;;12.05.1954
19;Frau;Heliane;Bieger;09.10.1953;Mahrweg;145;10318;Berlin;;0168/2329670;;h_bieger@email.none;ja;30.01.1988
20;Herr;Rimbert;Kleist;;Lärchenweg;62;54673;Nasingen;;;;rimbert79@quickmail.none;;23.09.2009
21;Herr;Wiethold;Bernecker;08.03.1911;Ferndorfer Straße;179;50969;Köln;0221/19199909;;;w_bernecker@email.none;ja;21.02.1951
22;Frau;Heidemarie;Schlösser;;Im Hamm;153;55234;Hangen-Weisheim;06244/80071619;;;;;19.02.2000
